"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"10","227.8707704491393","118.71986761479097","0.0064697265625","0.005859375","0.005859375","1560","0.0002765353928971525","24","0.0002765353928971525","0","0.0002765353928971525","0.0002765353928971525","9:0.0018451755923580004;11:0.00759109343293346","9:68;11:68","9:0.0015310429787871171;11:0.006683057686358407","0.0064697265625","Yes"
"11","152.50507034818122","82.67282606137404","0.0389404296875","0.0400390625","0.037841796875","1560","0.0007458214072404538","24","0.0007458214072404538","0","0.0007458214072404538","0.0007458214072404538","18:0.01652488854559539;10:0.00759109343293346;12:0.005414529235248405","18:68;10:68;12:68","18:0.017167881434402454;10:0.006683057686358407;12:0.005804028060811095","0.0389404296875","Yes"
"12","71.85455203894197","71.07811280978879","0.0257568359375","0.03466796875","0.016845703125","1560","0.00048087780231191097","24","0.00048087780231191097","0","0.00048087780231191097","0.00048087780231191097","13:0.00322277777019081;11:0.005414529235248405","13:68;11:68","13:0.0030283231986135417;11:0.005804028060811095","0.0257568359375","Yes"
"13","290.3627091622308","215.34521932710882","0.0191650390625","0.020751953125","0.017578125","1560","0.0005028780627959916","24","0.0005028780627959916","0","0.0005028780627959916","0.0005028780627959916","12:0.00322277777019081;14:0.0028934932581732575","12:68;14:68","12:0.0030283231986135417;14:0.0022279185684146996","0.0191650390625","Yes"
"14","189.1674185985924","69.46104710810866","0.008056640625","0.0078125","0.00830078125","1560","0.0002835026179428408","24","0.0002835026179428408","0","0.0002835026179428408","0.0002835026179428408","15:0.001671815849196956;13:0.0028934932581732575","15:68;13:68","15:0.0019665883185256694;13:0.0022279185684146996","0.008056640625","Yes"
"15","280.1758255242299","169.89890531510503","0.0186767578125","0.0244140625","0.012939453125","1560","0.00012106627764538116","24","0.00012106627764538116","0","0.00012106627764538116","0.00012106627764538116","14:0.001671815849196956;19:0.003000706141741999","14:68;19:68","14:0.0019665883185256694;19:0.0035104856586458955","0.0186767578125","Yes"
"16","129.48093525502156","16.38574616451298","0.0067138671875","0.009521484375","0.00390625","1560","0.0004938987069602897","24","0.0004938987069602897","0","0.0004938987069602897","0.0004938987069602897","23:0.0024281892485329137;3:0.0015560332666292032","23:68;3:68","23:0.0023962350527551024;3:0.001761742108419312","0.0067138671875","Yes"
"17","113.35299738451533","76.78965433971646","0.005615234375","0.00830078125","0.0029296875","1560","0.0002295887007293436","24","0.0002295887007293436","0","0.0002295887007293436","0.0002295887007293436","7:0.003538108107420279;27:0.025282005907070443","7:68;27:68","7:0.004060290923745047;27:0.03795261382221274","0.005615234375","Yes"
"18","81.16255347600372","50.047985149921466","0.007080078125","0.010498046875","0.003662109375","1560","0.000298821468534553","24","0.000298821468534553","0","0.000298821468534553","0.000298821468534553","11:0.01652488854559539;31:0.005193720670577745","11:68;31:68","11:0.017167881434402454;31:0.0022734029534694777","0.007080078125","Yes"
"19","51.844673901143885","48.214810081940875","0.009521484375","0.010009765625","0.009033203125","1560","0.0005561490445554804","24","0.0005561490445554804","0","0.0005561490445554804","0.0005561490445554804","35:0.002737377854837131;15:0.003000706141741999","35:68;15:68","35:0.003127175830204998;15:0.0035104856586458955","0.009521484375","Yes"
"20","172.22931002694781","111.25224346024832","0.0091552734375","0.009765625","0.008544921875","1560","0.0002487649327946949","24","0.0002487649327946949","0","0.0002487649327946949","0.0002487649327946949","21:0.006664671799345462","21:68","21:0.005113980619548986","0.0091552734375","Yes"
"21","184.40636110998312","160.25179508154213","0.006591796875","0.01171875","0.00146484375","1560","0.00036176171408914447","24","0.00036176171408914447","0","0.00036176171408914447","0.00036176171408914447","36:0.005955531685107235;20:0.006664671799345462;22:0.0023856514359863745","36:68;20:68;22:68","36:0.004837360778504468;20:0.005113980619548986;22:0.00199786667869134","0.006591796875","Yes"
"22","136.40937864685864","116.16696507104781","0.00537109375","0.008544921875","0.002197265625","1560","0.00021796280952424385","24","0.00021796280952424385","0","0.00021796280952424385","0.00021796280952424385","23:0.0031097030776005563;21:0.0023856514359863745","23:68;21:68","23:0.0027238627344824407;21:0.00199786667869134","0.00537109375","Yes"
"23","78.71322283896315","79.30609330307932","0.005126953125","0.0087890625","0.00146484375","1560","0.00019572498464852023","24","0.00019572498464852023","0","0.00019572498464852023","0.00019572498464852023","22:0.0031097030776005563;24:0.004779251116041161;16:0.0024281892485329137","22:68;24:68;16:68","22:0.0027238627344824407;24:0.004043994474006801;16:0.0023962350527551024","0.005126953125","Yes"
"24","135.13081917693455","167.65340020868987","0.0078125","0.01123046875","0.00439453125","1560","0.0006244281787392341","24","0.0006244281787392341","0","0.0006244281787392341","0.0006244281787392341","23:0.004779251116041161;25:0.02092443146594436","23:68;25:68","23:0.004043994474006801;25:0.014231081004512036","0.0078125","Yes"
